pitcher,pitch_type,release_speed,pfx_z,pfx_x,release_spin_rate,spin_axis,release_pos_x,release_pos_z,release_extension,plate_z,plate_x,stand
660271,SL,87.5,1.01,0.63,2465,83,-2.63,5.77,6.8,2.54,0.43,R
660271,SI,94,0.76,-1.12,2048,314,-2.26,6.03,6.8,3.04,0.84,R
660271,SL,87,0.58,0.94,2566,64,-2.4,5.66,6.7,2.49,-0.04,R
660271,SL,87.8,0.31,1.02,2473,60,-2.58,5.67,6.8,2.26,-0.13,R
660271,CU,82.2,-1.06,0.86,2593,43,-1.9,6.24,6.6,2.9,0.09,L
660271,SL,86.7,0.54,1.21,2624,64,-2.43,5.68,6.7,2.22,0.83,L
660271,CU,82,-0.91,0.81,2536,44,-1.85,6.16,6.8,1.41,1.17,L
660271,SL,85.6,0.42,1.31,2517,55,-2.5,5.74,6.9,1.72,0.39,L
660271,CU,81.1,-1,0.92,2529,37,-1.86,6.23,6.9,1.32,0.76,L
660271,SL,86.9,0.17,1,2509,74,-2.5,5.71,6.9,2.22,0.76,R
660271,FS,89.1,0.12,-0.57,1166,239,-1.88,6.2,6.9,2.36,-0.41,R
660271,SL,86.1,0.53,1.06,2471,78,-2.43,5.74,6.7,2.54,-0.35,R
660271,SI,94.9,0.23,-1.37,2130,208,-2.29,5.88,6.8,2.6,-0.44,R
660271,SL,86.1,0.73,0.95,2415,88,-2.58,5.85,6.7,3.12,-0.84,R
660271,CU,73.4,-1.06,0.76,2366,33,-1.81,6.5,6.5,2.84,-0.09,L
660271,SL,89.4,0.59,1.14,2658,86,-2.58,5.54,6.8,2.56,1.06,R
660271,SL,89.1,0.7,1.05,2550,84,-2.61,5.61,6.7,2.75,0.36,R
660271,SL,85.9,0.29,1.33,2551,65,-2.43,5.68,6.8,2.37,1.79,R
660271,SL,85.1,0.36,1.41,2517,74,-2.59,5.53,6.6,4.49,-1.04,R
660271,SL,86.8,0.65,0.93,2500,71,-2.45,5.76,6.8,3.55,0.03,R
660271,SI,98,0.45,-1.22,1998,287,-2.51,5.72,6.9,2.2,0,R
660271,SI,97.9,0.38,-1.31,1938,214,-2.34,5.81,6.8,1.93,0.28,R
660271,SL,88.4,0.31,1.32,2608,65,-2.65,5.73,6.7,2.68,0.79,R
660271,SL,86.2,0.47,1.22,2490,70,-2.59,5.66,6.8,2.96,0.17,R
660271,SL,84.5,0.67,1,2402,86,-2.53,5.82,6.7,3.1,-0.9,R
660271,SL,84.8,0.62,0.85,2323,79,-2.58,5.86,6.6,3.98,-1.59,R
660271,SL,85.8,0.47,0.96,2489,67,-2.67,5.65,6.9,2.82,-0.64,R
660271,SI,98.2,0.29,-1.6,2095,219,-2.29,5.73,6.9,0.27,-0.07,R
660271,SL,86.5,0.84,0.92,2624,57,-2.47,5.71,6.7,1.71,0.48,R
660271,SL,87.9,0.6,0.98,2644,69,-2.57,5.81,6.8,1.41,0.09,R
660271,SI,99.7,0.6,-1.68,2092,225,-2.19,5.91,6.9,1.86,-0.18,R
660271,SL,88.8,0.39,1.09,2489,67,-2.57,5.62,6.8,2.25,0.96,R
660271,SL,87.3,0.68,1.12,2579,62,-2.55,5.73,6.9,2.34,0.02,R
660271,SI,98.4,0.61,-1.47,1960,224,-2.21,5.94,6.9,1.03,-0.28,R
660271,SL,86.4,0.81,0.83,2478,75,-2.44,5.73,6.8,2.76,-0.08,R
660271,CU,82.6,-0.95,0.69,2547,37,-1.88,6.33,6.7,0.48,0.61,L
660271,FF,96.3,1.19,-0.13,2109,212,-2.2,5.95,6.8,2.88,-0.09,L
660271,FS,86,0.02,-0.59,1264,234,-1.92,6.35,6.8,4.27,-1.15,L
660271,CU,74.7,-1.09,0.69,2361,34,-1.58,6.54,6.6,0.33,0.8,L
660271,SL,87.1,0.41,1.07,2570,68,-2.53,5.74,6.7,2.15,0.38,R
660271,SL,85.4,0.18,1.28,2535,65,-2.51,5.79,6.7,2.9,-0.37,R
660271,SL,84.2,-0.02,1.55,2589,53,-2.33,5.79,6.9,0.84,0.86,R
660271,SL,86.3,0.38,1.09,2501,72,-2.45,5.68,6.7,1.85,-0.38,R
660271,FF,97.5,1.12,-0.24,2233,203,-2.18,6,6.7,2.59,-0.26,R
660271,FC,89.2,0.6,0.15,2387,188,-2.4,5.83,6.7,1.8,0.27,R
660271,FF,93.9,1.21,-0.71,2135,218,-2,6.04,6.8,2.59,-0.42,R
660271,SL,83,0.75,0.86,2433,76,-2.4,5.9,6.6,3.64,-1,R
660271,SL,84.4,0.7,0.91,2449,79,-2.48,5.82,6.7,3.72,-0.17,R
660271,SI,95.3,0.74,-1.37,1817,218,-1.91,6.17,6.7,3.68,-0.73,R
660271,FC,90.3,0.72,0.22,2396,192,-2.5,5.87,6.8,2.69,0.44,L
660271,SL,90.3,0.71,0.94,2488,81,-2.43,5.69,6.6,1.12,1.34,R
660271,SL,83.7,0.31,1.16,2535,57,-2.46,5.81,6.6,2.84,-0.23,R
660271,SL,85,0.44,0.73,2434,73,-2.31,5.82,6.7,3.05,-0.67,R
660271,FF,97.2,1.22,-0.21,2241,211,-2.12,5.94,6.7,2.66,-0.64,R
660271,SL,86.6,0.57,1.37,2490,69,-2.54,5.71,6.8,2.67,0.09,R
